col1,col2,col3,col4,Lon,Lat,col7,col8,col9,col10,col11
54,广云高速,3,白诸站,112.0986602,22.95855898,,,,,
54,广云高速,5,思劳站,112.2167668,22.92531055,,,,,
54,广云高速,7,云浮东,112.3162872,22.95792119,,,,,
55,沿海珠海,1,珠港站,113.146265,22.211104,,,,,
55,沿海珠海,3,斗门站,113.3067440987,22.245429787,,,,,
55,沿海珠海,7,坦洲站,113.4627628326,22.3125623441,,,,,
55,沿海珠海,9,那洲站,113.489749,22.364751,,,,,
55,沿海珠海,11,下栅站,113.521933,22.408977,,,,,
55,沿海珠海,15,金台站,113.2300329208,22.2149801909,,,,,
56,兴畲高速,1,新圩,115.8729223,24.068299,,,,,
57,广珠北段,3,化龙,113.4428,23.0146,,,,,
