enter_RoadId,enter_StationId,exit_RoadId,exit_stationId,enter_lat,enter_lon,exit_lat,exit_lon,enter_time,exit_time
1,26,1,40,22.73383,113.84667,22.5170962329,114.0595436096,Mon Jan 04 16:47:00 EST 2016,Mon Jan 04 17:18:00 EST 2016
1,18,1,24,22.9285,113.6815,22.8021,113.78758,Mon Jan 04 16:47:00 EST 2016,Mon Jan 04 17:04:00 EST 2016
1,40,1,27,22.5170962329,114.0595436096,22.6476604205,113.8329291344,Mon Jan 04 16:47:00 EST 2016,Mon Jan 04 17:07:00 EST 2016
1,27,1,25,22.6476604205,113.8329291344,22.73598,113.84722,Mon Jan 04 16:47:00 EST 2016,Mon Jan 04 16:54:00 EST 2016
49,3,1,45,22.6839150635,114.0340948105,22.7107,113.8466,Mon Jan 04 16:47:00 EST 2016,Mon Jan 04 17:12:00 EST 2016
61,17,1,60,22.8121,113.6372,23.1443259191,113.398604393,Mon Jan 04 16:48:00 EST 2016,Mon Jan 04 17:38:00 EST 2016
73,21,1,19,23.81121254,114.7226987,22.8277697001,113.6984324455,Mon Jan 04 16:48:00 EST 2016,Mon Jan 04 18:50:00 EST 2016
1,33,1,36,22.590881,113.89924,22.56433,113.92952,Mon Jan 04 16:48:00 EST 2016,Mon Jan 04 16:54:00 EST 2016
1,15,1,5,22.9752063091,113.6992263794,23.1474433349,113.516600132,Mon Jan 04 16:48:00 EST 2016,Mon Jan 04 17:09:00 EST 2016
1,26,1,38,22.73383,113.84667,22.5308320943,114.0147185326,Mon Jan 04 16:48:00 EST 2016,Mon Jan 04 17:11:00 EST 2016
1,37,1,35,22.5373526817,114.0117573738,22.564249,113.930897,Mon Jan 04 16:48:00 EST 2016,Mon Jan 04 16:55:00 EST 2016
37,6,1,24,22.8064,113.6323,22.8021,113.78758,Mon Jan 04 16:49:00 EST 2016,Mon Jan 04 17:10:00 EST 2016
